,business_dba,business_type,location_1,location_1_location,latitude,longitude
469,BACCALA,TAVERN,"{'type': 'Point', 'coordinates': [-94.527102, 39.105536]}",4700-4704 INDEPENDENCE AVENUE 64124,39.105536,-94.527102
471,WESTPORT REGIONAL BUSINESS LEAGUE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.591816, 39.053281]}",4050 PENNSYLVANIA AVENUE 64111-,39.053281,-94.591816
472,"BALTIMORE CLUB,THE",TAVERN,"{'type': 'Point', 'coordinates': [-94.584366, 39.098892]}",1228 BALTIMORE 64105-,39.098892,-94.584366
474,PANERA BREAD  #2735,SIDEWALK CAFE,"{'type': 'Point', 'coordinates': [-94.59061, 39.01389]}",6301 BROOKSIDE PLAZA 64113-,39.01389,-94.59061
475,BLUE RIDGE LIQUORS.,PACKAGE,"{'type': 'Point', 'coordinates': [-94.508328, 38.935622]}",10409 BLUE RIDGE BLVD 64134-,38.935622,-94.508328
476,"AURA, KANSAS CITY",TAVERN,"{'type': 'Point', 'coordinates': [-94.586062, 39.05777]}",3832 MAIN STREET 64111-,39.05777,-94.586062
477,816 HOTEL,TAVERN,"{'type': 'Point', 'coordinates': [-94.595692, 39.051194]}",801 WESTPORT 64111-,39.051194,-94.595692
478,AMERICAN LEGION POST #61,TAVERN,"{'type': 'Point', 'coordinates': [-94.510785, 39.186901]}",5125 N BELLAIRE AVENUE 64119,39.186901,-94.510785
479,SINCLAIR PLATTE WOODS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.648661, 39.225044]}",5905 72ND STREET 64151-,39.225044,-94.648661
480,MIKE'S SERVICE CENTER,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.646243, 39.213409]}",6545 N COSBY 64151-,39.213409,-94.646243
481,BUDDIES LOUNGE,TAVERN,"{'type': 'Point', 'coordinates': [-94.585865, 39.059758]}",3715 MAIN STREET 64111-,39.059758,-94.585865
482,SHORT STOP 85,PACKAGE,"{'type': 'Point', 'coordinates': [-94.580962, 38.973768]}",700 E 85TH STREET 64131-,38.973768,-94.580962
483,GAROZZO'S RISTORANTE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.571882, 39.109379]}",526 HARRISON AVENUE 64106,39.109379,-94.571882
484,USED TIRE CITY,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.526862, 39.127153]}",4401 GARDNER AVENUE 64120-,39.127153,-94.526862
485,NORTHTOWNE MITSUBISHI,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.579729, 39.181167]}",101 NE VIVION ROAD 64118-,39.181167,-94.579729
486,SHARK BAR,TAVERN,"{'type': 'Point', 'coordinates': [-94.581059, 39.097937]}",1340 GRAND BLVD 64106-,39.097937,-94.581059
487,GOJO JAPANESE STEAK HOUSE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.588986, 39.05136]}",4163 BROADWAY BLVD 64111,39.05136,-94.588986
488,AFFARE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.583623, 39.0902]}",1911 MAIN 64108-,39.0902,-94.583623
489,GOOD BUYS SALES AND SALVAGE,SALVAGE YARD,"{'type': 'Point', 'coordinates': [-94.526645, 39.020944]}",5717 QUINCY 64130-,39.020944,-94.526645
490,POWERS 66,PACKAGE,"{'type': 'Point', 'coordinates': [-94.603612, 39.100154]}",1509 W 12TH STREET 64101-,39.100154,-94.603612
491,PIZZA STREET,AMUSEMENT DEVICE EXHIBITOR,"{'type': 'Point', 'coordinates': [-94.578372, 39.195665]}",307 B NE ENGLEWOOD DRIVE 64118-,39.195665,-94.578372
