,business_dba,business_type,location_1,location_1_location,latitude,longitude
720,TONY'S DISCOUNT CENTER,PACKAGE,"{'type': 'Point', 'coordinates': [-94.552169, 39.077108]}",2604 E 27TH STREET 64127,39.077108,-94.552169
721,"PIANO ROOM, THE",TAVERN,"{'type': 'Point', 'coordinates': [-94.595042, 38.975667]}",8410 WORNALL ROAD 64114-,38.975667,-94.595042
722,SNAPPY STORE #1620,PACKAGE,"{'type': 'Point', 'coordinates': [-94.603881, 39.097943]}",1620 W 14TH STREET 64102-,39.097943,-94.603881
724,"SHIP,THE",TAVERN,"{'type': 'Point', 'coordinates': [-94.598502, 39.102406]}",1217 UNION AVENUE 64101-,39.102406,-94.598502
726,INNER CITY UNITED OIL COMPANY,PACKAGE,"{'type': 'Point', 'coordinates': [-94.53803, 39.069388]}",3816 31ST STREET 64128-,39.069388,-94.53803
727,DISTRICT POUR HOUSE & KITCHEN,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.593885, 38.999125]}",7122 WORNALL 64114-,38.999125,-94.593885
728,TERMINAL CAB,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.565745, 39.097592]}",1300 LYDIA 64106-0000,39.097592,-94.565745
729,A.S.A.P LIMO SERVICE,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.573649, 39.063368]}",900 E ARMOUR BLVD 64109-,39.063368,-94.573649
730,AIDS SERVICE FOUNDATION OF GREATER KANSAS CITY,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.589157, 39.052295]}",315 LAWRENCE AVENUE 64111-1,39.052295,-94.589157
731,WALGREENS #4530,PACKAGE,"{'type': 'Point', 'coordinates': [-94.507965, 38.952802]}",9430 BLUE RIDGE BLVD 64138-,38.952802,-94.507965
732,LEVY RESTAURANT,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.486274, 39.048755]}",1 ARROWHEAD DRIVE 64129,39.048755,-94.486274
733,FLYING SAUCER,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.582043, 39.098526]}",101 13TH STREET 64106-,39.098526,-94.582043
734,DICARLO'S MUSTARD SEED,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.414804, 39.035582]}",15015 US 40 HIGHWAY 64136-,39.035582,-94.414804
735,"BLUE KOI NOODLES, DUMPLINGS, & FINE TEAS",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.606211, 39.057279]}",1803 W 39TH STREET 64111,39.057279,-94.606211
736,ORANGE CAB COMPANY,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.545626, 39.094529]}",3118 E TRUMAN ROAD 64127-,39.094529,-94.545626
737,BURGGRAF TIRE AND AUTOMOTIVE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.594695, 38.981569]}",8047 WORNALL ROAD 64114-,38.981569,-94.594695
738,WALGREENS #4406,PACKAGE,"{'type': 'Point', 'coordinates': [-94.547102, 39.187425]}",2630 NE VIVION ROAD 64119-,39.187425,-94.547102
739,NAWS-NORTHLAND ANIMAL WELFARE SOCIETY,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.580201, 39.243738]}",2 NE 82ND TERRACE 64118-,39.243738,-94.580201
740,GRUNAUER RESTAURANT & BAR,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.584991, 39.087739]}",101 W 22ND STREET 64108-,39.087739,-94.584991
741,"CLASSIC COOKIE, THE",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.594, 38.999565]}",409 GREGORY BLVD 64114,38.999565,-94.594
742,OTTO SERVICE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.505934, 38.955787]}",9301 BLUE RIDGE BLVD 64138-,38.955787,-94.505934
744,SPEEDY CASH 3,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.55054, 39.106338]}",2600 INDEPENDENCE BLVD 64124-,39.106338,-94.55054
745,FREEWAY MARKET,PACKAGE,"{'type': 'Point', 'coordinates': [-94.542022, 39.004603]}",3811 67TH STREET 64132,39.004603,-94.542022
746,KC COMPLETE AUTO SERVICE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.574461, 39.264173]}",451 NE 94TH STREET 64155-,39.264173,-94.574461
747,TAQUERIA  EL CORITA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.509197, 39.104265]}",6225 WINNER ROAD 64125-,39.104265,-94.509197
748,LA SALSA MEXICAN RESTAURANT,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.557512, 39.094913]}",2021 TRUMAN ROAD 64127-,39.094913,-94.557512
749,RESIDENCE INN BY MARRIOTT (KCI),RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.67061, 39.280033]}",10300 N AMBASSADOR DRIVE 64153-,39.280033,-94.67061
750,CALVARY EVANGELICAL LUTHERAN CHURCH,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.584946, 38.991664]}",7500 OAK STREET 64114-1945,38.991664,-94.584946
751,DELASALLE EDUCATION CENTER,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.571944, 39.058627]}",3737 TROOST AVENUE 64109-,39.058627,-94.571944
752,TRIBUTES,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.515438, 39.051336]}",8500 E 40 HIGHWAY 64129-,39.051336,-94.515438
753,ARTHUR'S LOUNGE,TAVERN,"{'type': 'Point', 'coordinates': [-94.658832, 39.242447]}",8158 NW PRAIRIE VIEW ROAD 64151,39.242447,-94.658832
754,PRINCESS GARDEN RESTAURANT,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.595496, 38.966363]}",8906 WORNALL ROAD 64114,38.966363,-94.595496
755,KANSAS CITY DIVERSITY COALITION,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.580129, 39.059488]}",3724 LOCUST STREET 64109-,39.059488,-94.580129
756,FIORELLA'S  JACK STACK FRIEGHT HOUSE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.584991, 39.087739]}",101 22ND STREET 64108-,39.087739,-94.584991
757,WALDO FINANCIAL,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.594985, 38.975337]}",8437 WORNALL ROAD 64114-5811,38.975337,-94.594985
758,JK WINES,WHOLESALER,"{'type': 'Point', 'coordinates': [-94.677891, 39.187052]}",8500 NW RIVER PARK DRIVE 64152-,39.187052,-94.677891
760,Q HOTEL & SPA,TAVERN,"{'type': 'Point', 'coordinates': [-94.593293, 39.052016]}",560 WESTPORT ROAD 64111-,39.052016,-94.593293
761,MIDAS AUTO SERVICE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.575856, 38.988022]}",7648 TROOST 64131-,38.988022,-94.575856
762,BRAVO! CUCINA ITALIANA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.664768, 39.251567]}",7301 87TH STREET 64153-,39.251567,-94.664768
763,CVS/PHARMACY #8567,PACKAGE,"{'type': 'Point', 'coordinates': [-94.587225, 39.035999]}",5011 MAIN STREET 64112-,39.035999,-94.587225
765,CHEZ CHARLIE,TAVERN,"{'type': 'Point', 'coordinates': [-94.590597, 39.058351]}",3809 BROADWAY STREET 64111,39.058351,-94.590597
767,STAND OF COLORS,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.584479, 39.103648]}",104 W 9TH STREET 64105-,39.103648,-94.584479
769,CASH AMERICA PAWN OF KC 8,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.594866, 38.977888]}",8241 WORNALL ROAD 64114-,38.977888,-94.594866
770,MANNY'S,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.58681, 39.089111]}",207 SOUTHWEST BLVD 64108,39.089111,-94.58681
771,JACOB RIEGER & COMPANY,MANUFACTURER,"{'type': 'Point', 'coordinates': [-94.549106, 39.119257]}",2700 GUINOTTE 64120-,39.119257,-94.549106
772,HIWAY HOUSE,TAVERN,"{'type': 'Point', 'coordinates': [-94.54986, 39.169108]}",4071 PRATHER ROAD 64116,39.169108,-94.54986
773,EXPRESS LOAN,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.583375, 39.095268]}",1517 MAIN STREET 64108-,39.095268,-94.583375
775,BRISTOL BAR & GRILL,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.582485, 39.097198]}",51 14TH STREET 64106-,39.097198,-94.582485
777,ALDI #64,PACKAGE,"{'type': 'Point', 'coordinates': [-94.508116, 38.934235]}",10475 BLUE RIDGE BLVD 64134,38.934235,-94.508116
778,ART OF PIZZA,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.584685, 39.091698]}",1801 BALTIMORE 64108-,39.091698,-94.584685
779,PINNACLE  IMPORTS OF KANSAS CITY,WHOLESALER,"{'type': 'Point', 'coordinates': [-94.591107, 39.089231]}",2001 PENNSYLVANIA 64108-,39.089231,-94.591107
780,COUNTRY CLUB CONGREGATIONAL CHURCH,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.591842, 39.010383]}",205 W 65TH STREET 64113-,39.010383,-94.591842
781,NORTHLAND TRANSPORTATION,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.5411, 39.255368]}",3108 NE 90TH TERRACE 64156-,39.255368,-94.5411
784,AMERICAN FOOD & VENDING SERVICE (LIBERTY MEMORIAL),RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.586177, 39.079738]}",100 W 26TH 64108-,39.079738,-94.586177
785,JJ 'S BAR & GRILL,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.597525, 39.04072]}",900 W 48TH PLACE 64112,39.04072,-94.597525
786,KCM TRANSPORTATION,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.443035, 39.019712]}",5612 RIDGEWAY AVENUE 64133-,39.019712,-94.443035
787,MUSTANG PLUS ENTERPRISE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.51782, 39.105196]}",5500 INDEPENDENCE AVENUE 64123-,39.105196,-94.51782
788,PIZZA SHOPPE.,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.601001, 38.882437]}",13612 WASHINGTON AVENUE 64145-,38.882437,-94.601001
789,AMC THEATRES WARD PARKWAY 14,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.605673, 38.972114]}",8600 WARD PARKWAY 64114-,38.972114,-94.605673
790,SEARS AUTO CENTER #6201,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.548665, 39.19251]}",5415 NE ANTIOCH ROAD 64119-,39.19251,-94.548665
791,PEDAL HOPPER,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-104.946611, 39.764477]}",3429 BRUCE RANDOLPH AVENUE 80205-,39.764477,-104.946611
792,FAIRCHILD CHAUFFEURED,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.587291, 39.210618]}",510 64TH STREET 64118-,39.210618,-94.587291
793,A/3 TIRE & WHEEL,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.540601, 39.098444]}",3507 12TH STREET 64127-,39.098444,-94.540601
794,COSTCO WHOLESALE #375,PACKAGE,"{'type': 'Point', 'coordinates': [-94.581371, 39.068283]}",241 LINWOOD BLVD 64111,39.068283,-94.581371
795,QUIK TRIP #197,PACKAGE,"{'type': 'Point', 'coordinates': [-94.586066, 38.889543]}",13100 HOLMES ROAD 64145-1489,38.889543,-94.586066
796,KANSAS CITY FAMILY MUSIC FEST,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.588015, 39.052151]}",4049 CENTRAL STREET 64111-,39.052151,-94.588015
797,"MAJESTIC RESTAURANT, THE",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.588255, 39.102668]}",931 BROADWAY 64105-,39.102668,-94.588255
798,TIFFANY GREENS GOLF CLUB,TAVERN,"{'type': 'Point', 'coordinates': [-94.664465, 39.272414]}",5900 NW TIFFANY SPRINGS PARKWAY 64153,39.272414,-94.664465
800,ZOCALO,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.59452, 39.040623]}",614-620 W 48TH 64112-,39.040623,-94.59452
801,MID-AMERICAN TITLE LOAN,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.585666, 39.064682]}",3434 MAIN STREET 64111-,39.064682,-94.585666
802,FIRST CLASS TRANSPORTATION,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.636908, 39.252342]}",4905 NW 87TH STREET 64154-,39.252342,-94.636908
803,MO BREW,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.602921, 39.057183]}",1403 39TH STREET 64111-,39.057183,-94.602921
804,CAMPBELL'S AUTOMOTIVE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.595578, 38.992483]}",523 75TH STREET 64114-,38.992483,-94.595578
805,CENTER FOR SPRITUAL LIVING,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.59916, 39.057078]}",1014 W 39TH STREET 64111-,39.057078,-94.59916
806,RUBY TUESDAY,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.670536, 39.272177]}",9770 NW PRAIRIE VIEW ROAD 64153,39.272177,-94.670536
807,TWENTY 20,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.584926, 39.088032]}",2020 BALTIMORE AVENUE 64108,39.088032,-94.584926
808,SINGER AUTOMOTIVE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.593843, 38.994115]}",311 74TH STREET 64114-,38.994115,-94.593843
809,LOS CORRALS,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.589047, 39.103823]}",414 W 9TH STREET 64105-,39.103823,-94.589047
810,C & H AUTO PARTS - TRUMAN RD,SALVAGE YARD,"{'type': 'Point', 'coordinates': [-94.491511, 39.093538]}",7604 E TRUMAN ROAD 64126-,39.093538,-94.491511
811,LUXURY AIRPORT TRANSPORTation,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.656953, 39.218464]}",6811 N FISK 64151-,39.218464,-94.656953
812,JETS AUTO SERVICE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.533522, 39.093994]}",4141 TRUMAN ROAD 64127-,39.093994,-94.533522
813,WORLDWIDE WINE & SPIRITS OF MISSOURI,WHOLESALER,"{'type': 'Point', 'coordinates': [-94.601964, 39.052403]}",3101 MERCIER STREET 64111-,39.052403,-94.601964
815,XO BRANDS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.486846, 39.081154]}",8201 23RD STREET 64129-,39.081154,-94.486846
816,GOMERS STATE LINE,PACKAGE,"{'type': 'Point', 'coordinates': [-94.607016, 38.992952]}",1606 75TH STREET 64114-,38.992952,-94.607016
817,EL PUEBLITO RESTAURANT,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.594135, 39.084569]}",810 SOUTHWEST BLVD 64108,39.084569,-94.594135
818,SHORT STOP MINI MART,PACKAGE,"{'type': 'Point', 'coordinates': [-94.547642, 39.033483]}",3201 E 51ST STREET 64130-,39.033483,-94.547642
819,WAFFLE HOUSE #1223,AMUSEMENT DEVICE EXHIBITOR,"{'type': 'Point', 'coordinates': [-94.45959, 39.244848]}",9700 NE BARRY ROAD 64157-,39.244848,-94.45959
820,ADVANCE AMERICA #703,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.586091, 39.056118]}",3907 MAIN STREET 64111-1916,39.056118,-94.586091
821,CVS/PHARMACY #5678,PACKAGE,"{'type': 'Point', 'coordinates': [-94.608116, 38.984968]}",7907 STATE LINE ROAD 64114-,38.984968,-94.608116
822,CAFE TRIO,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.586818, 39.04443]}",4558 MAIN 64111-,39.04443,-94.586818
823,PRIVILEGE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.583656, 39.090962]}",1822 MAIN STREET 64108-,39.090962,-94.583656
824,GOMER'S FINE WINES AND SPIRITS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.582406, 38.948161999999996]}",9902 HOLMES ROAD 64131,38.948161999999996,-94.582406
825,COAL VINES,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.594704, 39.040021]}",616-618 WARD PARKWAY 64112-,39.040021,-94.594704
826,ROOM 39,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.605219, 39.057257]}",1719 W 39TH STREET 64111-,39.057257,-94.605219
828,WAL-MART STORE  #4553,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.441586, 39.046463]}",11601 US 40 HIGHWAY 64133-,39.046463,-94.441586
829,PIZZA SHOPPE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.658553, 39.233372]}",7687 NW PRAIRIE VIEW ROAD 64151-,39.233372,-94.658553
830,MEINEKE CAR CARE CENTER,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.547974, 39.186806]}",2625 NE VIVION ROAD 64119-,39.186806,-94.547974
831,UGLY JOE'S,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.606395, 38.941984]}",1227 W 103RD STREET 64114-,38.941984,-94.606395
832,ROBO'S  USED WHEEL & TIRE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.511375, 39.06697]}",3127 BELMONT AVENUE 64129-,39.06697,-94.511375
833,S & S SERVICE CENTER,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.576135, 38.981719]}",8025 TROOST 64131-,38.981719,-94.576135
835,WRIGHT LANDSCAPING,TIRE HAULER,"{'type': 'Point', 'coordinates': [-94.735968, 38.981622]}",8113 PARKHILL STREET 66215-,38.981622,-94.735968
836,SNYDER'S SUPER MARKET,PACKAGE,"{'type': 'Point', 'coordinates': [-94.550549, 39.106335]}",2620 INDEPENDENCE AVENUE 64124,39.106335,-94.550549
837,WALDON WINES,WHOLESALER,"{'type': 'Point', 'coordinates': [-94.601964, 39.052403]}",3150 MERCIER STREET 64111-,39.052403,-94.601964
838,HARRY'S COUNTRY CLUB,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.580556, 39.107787]}",112 MISSOURI AVENUE 64106,39.107787,-94.580556
840,RESIDENCE INN BY MARRIOTT,TAVERN,"{'type': 'Point', 'coordinates': [-94.591404, 39.044001]}",4601 BROADWAY STREET 64112,39.044001,-94.591404
841,QUDOS,TAVERN,"{'type': 'Point', 'coordinates': [-94.580889, 39.100807]}",1114-1116 GRAND 64106-,39.100807,-94.580889
842,AUTO STOP SHOPPE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.525493, 39.069017]}",4954 31ST STREET 64128-,39.069017,-94.525493
843,ROYAL MEADOWS GOLF  COURSE,TAVERN,"{'type': 'Point', 'coordinates': [-94.456332, 39.037223]}",10501 E 47TH STREET 64133-,39.037223,-94.456332
844,FIRESTONE COMPLETE AUTO CARE #3,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.594304, 38.99111]}",7575 WORNALL ROAD 64114-,38.99111,-94.594304
845,DANNY'S BIG EASY,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.562951, 39.091173]}",1601 18TH STREET 64108-,39.091173,-94.562951
846,CHIPOTLE MEXICAN GRILL #1,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.595423, 38.992478]}",501-03 75TH STREET 64114,38.992478,-94.595423
847,WAL-MART SUPERCENTER #234,PACKAGE,"{'type': 'Point', 'coordinates': [-94.461795, 39.242678]}",8301 CHURCH ROAD 64158,39.242678,-94.461795
848,BLUE STAR MOTORCYCLES,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.573876, 39.026762]}",5508 TROOST AVENUE 64110-,39.026762,-94.573876
849,WOODSWETHER II,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.549946, 39.185585]}",2510 VIVION ROAD 64118-,39.185585,-94.549946
851,HOOTERS OF NORTH KANSAS CITY,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.65348, 39.246803]}",6411 BARRY ROAD 64154-,39.246803,-94.65348
852,T & N AUTO SERVICE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.515909, 39.105118]}",5618 INDEPENDENCE AVENUE 64123-,39.105118,-94.515909
853,COMEDY CITY,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.590516, 39.061862]}",3600 BROADWAY 64111-,39.061862,-94.590516
854,MAIN STREET THRIFTWAY,PACKAGE,"{'type': 'Point', 'coordinates': [-94.585793, 39.054488]}",3967 MAIN 64111,39.054488,-94.585793
856,NEW HORIZONS ENTERPRISE,TIRE HAULER,"{'type': 'Point', 'coordinates': [-94.570676, 39.083833]}",2316 TROOST AVENUE 64108-,39.083833,-94.570676
857,BERBIGLIA WINE & SPIRITS  #71,PACKAGE,"{'type': 'Point', 'coordinates': [-94.594558, 38.985704]}",7856 WORNALL ROAD 64114,38.985704,-94.594558
858,AUTOMAN,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.5868, 39.050648]}",10 42ND STREET 64111-,39.050648,-94.5868
859,CYSTIC FIBROSIS FOUNDATION,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.665452, 39.015687]}",6950 SQUIBB ROAD 66202-,39.015687,-94.665452
861,ROYAL LIQUORS #2,PACKAGE,"{'type': 'Point', 'coordinates': [-94.594637, 39.084215]}",801 SOUTHWEST BLVD 64108,39.084215,-94.594637
862,LESBIAN & GAY COMMUNITY CENTER OF KC,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.588909, 39.054035]}",207 WESTPORT ROAD 64111-,39.054035,-94.588909
863,CATERED EVENT 5/23/2014,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.581625, 39.084819]}",2345 GRAND STREET 64108-,39.084819,-94.581625
864,TRUMAN TOWN,PACKAGE,"{'type': 'Point', 'coordinates': [-94.53188, 39.094018]}",4302 E TRUMAN ROAD 64127-,39.094018,-94.53188
865,APPLEBEE'S NEIGHBORHOOD GRILL & BAR -3,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.461856, 39.243362]}",8350 N CHURCH ROAD 64158-,39.243362,-94.461856
867,ALTER EGO MOTORCYCLE SUPPLY,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.521425, 39.168551]}",4131 BRIGHTON AVENUE 64117-,39.168551,-94.521425
868,ECONOMY AUTO  SALVAGE,WASTE TIRE SITE,"{'type': 'Point', 'coordinates': [-94.519236, 39.067604]}",3139 STADIUM DRIVE 64128-,39.067604,-94.519236
869,WABASH IRON & METAL COMPANY,SECONDARY METAL RECYCLER,"{'type': 'Point', 'coordinates': [-94.570386, 39.089542]}",1908 TROOST AVENUE 64108-,39.089542,-94.570386
870,UNITED CAB,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.532345, 39.100496]}",1001 SPRUCE AVENUE 64127-,39.100496,-94.532345
871,COSENTINO APPLE MARKET #70,PACKAGE,"{'type': 'Point', 'coordinates': [-94.438286, 39.043431]}",4300 BLUE RIDGE BLVD 64133,39.043431,-94.438286
872,FRONTIER AIRLINES,PACKAGE,"{'type': 'Point', 'coordinates': [-94.718271, 39.303231]}",241 PARIS STREET 64153-,39.303231,-94.718271
873,MORTON'S  GRILLE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.588212, 39.043041]}",4646 JC NICHOLS PARKWAY 64112,39.043041,-94.588212
874,CVS/PHARMACY #5724,PACKAGE,"{'type': 'Point', 'coordinates': [-94.607935, 38.89005]}",13101 STATELINE ROAD 64145-,38.89005,-94.607935
875,SAM'S CLUB #6247.,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.459434, 39.246036]}",8130 CHURCH ROAD 64157-,39.246036,-94.459434
876,HALLS SALES & SERVICE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.57199, 39.013187]}",1300 63RD STREET 64110-,39.013187,-94.57199
877,CZAR BAR,TAVERN,"{'type': 'Point', 'coordinates': [-94.581155, 39.094679]}",1531 GRAND BLVD 64108-,39.094679,-94.581155
878,SMOKEHOUSE BBQ,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.661105, 39.248161]}",8451 NW PRAIRIE VIEW ROAD 64153,39.248161,-94.661105
879,EBT,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.606184, 38.935148]}",1310 CARONDELET DRIVE 64114,38.935148,-94.606184
880,ROYAL FOODS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.530514, 39.082204]}",4502 E 24TH STREET 64127,39.082204,-94.530514
881,WORTH HARLEY DAVIDSON NORTH,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.662967, 39.263922]}",9400 NW PRAIRIE VIEW ROAD 64153-,39.263922,-94.662967
884,ABC TIRE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.526862, 39.127153]}",4401 GARDNER AVENUE 64120-,39.127153,-94.526862
885,SUZY'S DELI,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.581117, 39.095237]}",1533 GRAND BLVD 64108-,39.095237,-94.581117
886,MY CHAUFFEUR,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.589637, 39.10815]}",425 WASHINGTON STREET 64105-,39.10815,-94.589637
887,DISCOUNT SMOKES & LIQUORS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.550452, 38.924553]}",3401 RED BRIDGE ROAD 64137-,38.924553,-94.550452
888,CALVERT'S EXPRESS AUTO SERVICE & TIRE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.583356, 39.095648]}",1501 MAIN STREET 64108-,39.095648,-94.583356
889,ELITE LIMOUSINE,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.567883, 39.309676]}",11917 N HOLMES COURT 64155-,39.309676,-94.567883
890,ANTON'S,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.583489, 39.09436]}",1608-10 MAIN STREET 64108-,39.09436,-94.583489
891,BERG  EVENT SPACE,TAVERN,"{'type': 'Point', 'coordinates': [-94.581112, 39.095323]}",1525 GRAND 64108-,39.095323,-94.581112
892,RAMIREZ TIRE SERVICE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.51602, 39.094028]}",5620 TRUMAN ROAD 64127-,39.094028,-94.51602
893,DISCOUNT SMOKES & LIQUOR,PACKAGE,"{'type': 'Point', 'coordinates': [-94.534712, 39.10573]}",4019 INDEPENDENCE AVENUE 64124-,39.10573,-94.534712
894,HOMETOWN LIQUOR,PACKAGE,"{'type': 'Point', 'coordinates': [-94.586006, 38.889278]}",13101 HOLMES ROAD 64145-,38.889278,-94.586006
895,MONSTER ENERGY GROUP,TIRE HAULER,"{'type': 'Point', 'coordinates': [-94.852602, 39.824154]}",20811 STATE ROUTE K HIGHWAY 64505-,39.824154,-94.852602
896,DANNY EDWARDS BOULEVARD BARBECUE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.603532, 39.075193]}",2908 SOUTHWEST BLVD 64108-,39.075193,-94.603532
897,WAL-MART STORE #2955,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.60646, 38.886503]}",1701 133RD STREET 64145-,38.886503,-94.60646
898,418,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.486147, 39.092571]}",1512 MARSH AVENUE 64126-0000,39.092571,-94.486147
899,"CASHEW, THE",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.581536, 39.088852]}",2000 GRAND BLVD 64108,39.088852,-94.581536
900,NEW PEKING CHINESE RESTAURANT,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.592648, 39.052315]}",540 WESTPORT ROAD 64111-,39.052315,-94.592648
